u,v,name,highway,oneway,length,lanes,bridge,ref,junction,maxspeed,tunnel,access,id,cnt,n_id
250691668,250698924,Εδουάρδου Λω,residential,True,119.49,,,,,,,,,,149
250691668,807999510,Χρήστου Λαδά,residential,True,54.024,,,,,,,,,,150
250691668,250691669,Σταδίου,primary,True,82.102,3,,ΕΟ1,,,,,,,151
250691669,250691670,Σταδίου,primary,True,78.13300000000001,3,,ΕΟ1,,,,,,,152
250691670,250691723,Αμερικής,tertiary,True,120.255,3,,,,,,,,,153
250691670,42240105,Σταδίου,primary,True,164.564,3,,ΕΟ1,,,,,,,154
250691723,250691755,Αμερικής,tertiary,True,169.13099999999997,2,,,,,,,,,155
250691723,250691724,Πανεπιστημίου,primary,True,79.621,5,,,,50.0,,,,,156
250691724,250698924,Πανεπιστημίου,primary,True,86.467,5,,,,50.0,,,,,157
250691724,250691669,Ομήρου,residential,True,121.079,,,,,,,,,,158
250691739,250691794,Ακαδημίας,secondary,True,49.807,4,,,,,,,,,159
250691741,300401174,Σόλωνος,secondary,True,48.165,2,,,,,,,,,160
250691741,300401270,Βουκουρεστίου,residential,True,56.718,,,,,,,,,,161
250691753,10134034294,Σόλωνος,secondary,True,82.287,2,,,,,,,,,162
250691755,300401360,Λυκαβηττού,tertiary,True,55.287000000000006,2,,,,,,,,,163
250691755,250692359,Ακαδημίας,secondary,True,70.184,4,,,,,,,,,164
250691793,250692062,Πινδάρου,residential,True,52.148,,,,,,,,,,165
250691793,6220792260,Ακαδημίας,secondary,True,29.006,4,,,,,,,,,166
250691794,250691793,Ακαδημίας,secondary,True,21.382,4,,,,,,,,,167
250691827,3339821648,Πανεπιστημίου,primary,True,42.937,4,,,,50.0,,,,,168
250691847,2511789008,"['Πανεπιστημίου', 'Βασιλίσσης Αμαλίας']",primary,True,17.314,3,,,,30.0,,,,,169
250691847,954712407,Βασιλίσσης Σοφίας,primary_link,True,37.937,1,,ΕΟ54,,,,,,,170
250692062,250692063,Πινδάρου,residential,True,56.586000000000006,,,,,,,,,,171
250692063,250691741,Σόλωνος,secondary,True,70.424,2,,,,,,,,,172
250692359,300401271,Δημοκρίτου,residential,True,52.655,1,,,,,,,,,173
250692359,250691739,Ακαδημίας,secondary,True,46.753,4,,,,,,,,,174
250692405,250692063,Σόλωνος,secondary,True,55.287,2,,,,,,,,,175
250698924,250698926,Πανεπιστημίου,primary,True,238.484,"['4', '5']",,,,50.0,,,,,176
250698926,250699982,Πανεπιστημίου,primary,True,51.279,4,,,,50.0,,,,,177
250699359,8446047162,Ασκληπιού,tertiary,True,113.90500000000002,2,,,,,,,,,178
250699359,10174555843,Ακαδημίας,secondary,True,171.203,4,,,,40.0,,,,,179
250699362,599116897,Ακαδημίας,secondary,True,61.63,2,,,,,,,,,180
250699362,250708641,Χαριλάου Τρικούπη,tertiary,True,112.553,2,,,,30.0,,,,,181
250699612,250709162,Πλατεία Κωστή Παλαμά,residential,False,62.885,1,,,,,,,,,182
250699612,250698926,Ιπποκράτους,tertiary,True,160.43800000000002,2,,,,,,,,,183
