episode,step,state,action,next_state,reward,trajectory
8,,,,,,"[{'state': 345, 'action': 1}, {'state': 169, 'action': 0}, {'state': 369, 'action': 0}, {'state': 168, 'action': 1}, {'state': 374, 'action': 1}, {'state': 156, 'action': 0}, {'state': 157, 'action': 0}, {'state': 176, 'action': 0}, {'state': 177, 'action': 0}, {'state': 189, 'action': 1}, {'state': 190, 'action': 0}, {'state': 211, 'action': 1}, {'state': 202, 'action': 0}, {'state': 235, 'action': 0}, {'state': 246, 'action': 0}, {'state': 34, 'action': 0}, {'state': 33, 'action': 0}, {'state': 31, 'action': 0}, {'state': 357, 'action': 0}, {'state': 40, 'action': 1}, {'state': 49, 'action': 1}, {'state': 364, 'action': 1}, {'state': 48, 'action': 0}, {'state': 44, 'action': 0}]"
9,1.0,345.0,1.0,169.0,0.46406492590904236,
9,2.0,169.0,0.0,369.0,0.511836588382721,
9,3.0,369.0,0.0,168.0,0.6999836564064026,
9,4.0,168.0,1.0,374.0,0.8055719137191772,
9,5.0,374.0,1.0,156.0,0.7792870998382568,
9,6.0,156.0,0.0,157.0,0.688938558101654,
9,7.0,157.0,0.0,176.0,0.7723935842514038,
9,8.0,176.0,0.0,177.0,0.7984890937805176,
9,9.0,177.0,0.0,189.0,0.656502902507782,
9,10.0,189.0,1.0,190.0,0.7779813408851624,
9,11.0,190.0,0.0,211.0,0.8334936499595642,
9,12.0,211.0,1.0,202.0,0.8513383865356445,
9,13.0,202.0,0.0,235.0,1.0668654441833496,
9,14.0,235.0,0.0,246.0,1.4222218990325928,
9,,,,,,"[{'state': 345, 'action': 1}, {'state': 169, 'action': 0}, {'state': 369, 'action': 0}, {'state': 168, 'action': 1}, {'state': 374, 'action': 1}, {'state': 156, 'action': 0}, {'state': 157, 'action': 0}, {'state': 176, 'action': 0}, {'state': 177, 'action': 0}, {'state': 189, 'action': 1}, {'state': 190, 'action': 0}, {'state': 211, 'action': 1}, {'state': 202, 'action': 0}, {'state': 235, 'action': 0}]"
10,1.0,30.0,1.0,236.0,0.38188183307647705,
10,2.0,236.0,1.0,376.0,0.7157296538352966,
10,3.0,376.0,0.0,231.0,0.49411308765411377,
10,4.0,231.0,1.0,198.0,0.7146917581558228,
10,5.0,198.0,1.0,196.0,0.8012371063232422,
10,6.0,196.0,1.0,195.0,0.7733738422393799,
10,7.0,195.0,1.0,180.0,0.6169436573982239,
10,8.0,180.0,1.0,315.0,0.8998134136199951,
10,9.0,315.0,1.0,185.0,0.5835255980491638,
10,10.0,185.0,1.0,179.0,0.7598621249198914,
10,11.0,179.0,2.0,418.0,0.6575433015823364,
